SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMTSISCH	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-N7MS-0011-R2a-SM-2HML6		C1, A1		7	Brain	Brain - Substantia nigra		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.5764861	71159	0.966509	938	0.60253	0.89219564	0.2549712	24018	0.72488964	0.7497818	76	43.140186	0.0030529764	138	44397185	56179964	0.03308434	2639068	93240110	14484750	0.61338025	138232	26227074	78689	0.04299433	0	0.07431334	0.43676773	0.53757465	40724270	0.005186	11122460	3083255	11350836	133	12333756	8632509	0.004073389	12176709	49.679634	0.028304	0.6285739	825	0.27511042	50.508106
GTEX-N7MS-0011-R2a-SM-2IZK7		C1, A1		7	Brain	Brain - Substantia nigra		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MS-0011-R3a-SM-2AXVU		C1, A1		7.6	Brain	Brain - Anterior cingulate cortex (BA24)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R3a-SM-2HMKD		C1, A1		7.6	Brain	Brain - Anterior cingulate cortex (BA24)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_2	04/02/2012	TrueSeq.v1	0.052775316	106822	0.9498658	1271	0.10211756	0.852263	0.31537962	22893	0.63501155	0.65598494	76	18.643805	0.0044908267	121	23133316	26833433	0.049529035	1060802	262770006	98028026	0.6028608	132910	6631114	104548	0.055841014	0	0.09760284	0.06484584	0.087031014	17039541	0.0064474316	2831304	8305410	2871831	109	8216948	4203436	0.0049964227	8178665	49.88325	0.004036998	0.15145981	805	0.36498842	50.355305
GTEX-N7MS-0011-R3a-SM-33HC6		C1, A1		7.6	Brain	Brain - Anterior cingulate cortex (BA24)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1668	09/11/2012	TrueSeq.v1	0.8898948	181246	0.95823866	626	0.9031067	0.8779393	0.28023484	26726	0.6580153	0.7718791	76	111.10296	0.0022793403	532	96736335	169157355	0.041239813	6268197	187306060	16596756	0.6109019	144599	81030965	42975	0.021781629	0	0.08029937	0.594258	0.79287285	111308128	0.0042622364	35307206	15326051	36530196	493	37018162	22944535	0.003256284	36935548	49.94414	0.033464998	0.91631854	867	0.3419847	50.851223
GTEX-N7MS-0011-R4a-SM-2AXW2		C1, A1		6.2	Brain	Brain - Amygdala		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R4a-SM-2HMKW		C1, A1		6.2	Brain	Brain - Amygdala		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.6061189	66310	0.9701102	1085	0.63193387	0.8879253	0.24717069	23512	0.66579306	0.7066316	76	39.765785	0.0031970337	139	34278324	57739900	0.02951408	3252595	91370162	15309460	0.6201857	136173	26995648	80856	0.042338993	0	0.08218483	0.42073718	0.5611101	38442825	0.0052473103	11385049	2157283	11693669	137	12625179	8130726	0.004180295	12427043	49.604553	0.035598	0.6577488	792	0.33420694	50.668625
GTEX-N7MS-0011-R5a-SM-2AXW7		C1, A1		7.8	Brain	Brain - Caudate (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R5a-SM-2HMK8		C1, A1		7.8	Brain	Brain - Caudate (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.822695	100214	0.96133834	852	0.8560358	0.8686172	0.2791045	25768	0.6871674	0.8509163	76	45.382313	0.0031765974	288	67899240	103081840	0.03828201	6074469	120417672	15850912	0.6516039	142500	48361747	63120	0.033065937	0	0.09272117	0.5882399	0.7435674	70834480	0.0051838853	19880100	3611988	20433179	300	21969336	13516211	0.0041411514	21616790	49.595577	0.050444998	0.88937664	843	0.3128326	50.685978
GTEX-N7MS-0011-R6a-SM-2AXWD		C1, A1		7.6	Brain	Brain - Nucleus accumbens (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R6a-SM-2HMJ4		C1, A1		7.6	Brain	Brain - Nucleus accumbens (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.81758004	92767	0.96049774	872	0.8504017	0.8740497	0.28359878	24949	0.73741996	0.78217846	76	39.173832	0.002966496	223	70612835	83469045	0.039025653	4020326	98152492	12130800	0.6405274	139856	39138643	69820	0.037460178	0	0.08644806	0.6271032	0.74329334	61551743	0.00499649	16270127	3105895	16666577	232	17914090	12304639	0.0039423187	17667376	49.653316	0.04096	0.88322335	817	0.26258	50.601833
GTEX-N7MS-0011-R7a-SM-2AXV5		C1, A1		6.4	Brain	Brain - Putamen (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R7a-SM-2HMKN		C1, A1		6.4	Brain	Brain - Putamen (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_2	02/15/2012	TrueSeq.v1	0.6063227	68795	0.9657911	1438	0.6355665	0.88972276	0.25763395	23068	0.5996547	0.753332	76	18.101377	0.0037581334	127	22921371	50748311	0.03395439	4708838	79847366	13227746	0.69271845	134273	23590438	120532	0.059061963	0	0.076068364	0.38112044	0.56547797	30431465	0.0058153137	9302533	3014167	9858263	121	10720564	5348825	0.004739396	10311004	49.02632	0.05897299	0.6648103	711	0.40034527	51.450176
GTEX-N7MS-0011-R8a-SM-2AXVD		C1, A1		6.8	Brain	Brain - Hypothalamus		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R8a-SM-2YUMK		C1, A1		6.8	Brain	Brain - Hypothalamus		BP-17395	RNA isolation_Trizol Manual (Cell Pellet)	07/05/2011	LCSET-1433	06/09/2012	TrueSeq.v1	0.8010902	76797	0.9578858	1189	0.8093838	0.86901504	0.2975689	23825	0.63373965	0.7283707	76	23.491623	0.0026488428	174	32679529	64119669	0.041740563	4320281	79220348	6538212	0.6239673	137724	30854511	93865	0.050207026	0	0.088870734	0.5129386	0.7033667	40635178	0.0028911503	13107705	3001813	13356736	172	13676405	9742599	0.0027687552	13341493	49.380203	0.05453499	0.8176774	771	0.36626035	50.470505
GTEX-N7MS-0126-SM-3TW8O	3	C1	OK	9.1	Testis	Testis	16-19 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2622	01/26/2013	TrueSeq.v1	0.91745436	215630	0.89233494	622	0.9259992	0.71409994	0.35788485	33963	0.8147143	0.7520246	76	47.58226	0.002787462	240	124500663	100498422	0.10740067	5577558	108529704	14488498	0.67675555	158140	48461765	38729	0.021206195	0	0.17823504	0.7544248	0.661256	81877508	0.0029687712	19316609	9667371	19511521	250	19779451	15644874	0.0028772799	19751569	49.96473	0.051391996	0.9345441	921	0.18528563	50.25099
GTEX-N7MS-0426-SM-2QU34	1	C1	OK for analysis	6.6	Muscle	Muscle - Skeletal	16-19 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-N7MS-0426-SM-2YUN6	1	C1	OK for analysis	6.6	Muscle	Muscle - Skeletal	16-19 hours	BP-16740	RNA isolation_Trizol Manual (Cell Pellet)	05/19/2011	LCSET-1433	06/09/2012	TrueSeq.v1	0.747114	60415	0.9573516	950	0.75771	0.8706479	0.26751718	21946	0.58519906	0.6812556	76	47.77763	0.0027803455	175	30895867	72543884	0.042483553	3174674	95740970	8291854	0.60883296	128855	34853797	67533	0.038847078	0	0.086703695	0.44341117	0.6596986	42452614	0.003110523	13994288	3885718	14293327	162	14755799	14682042	0.0029431256	14345616	49.29525	0.03315899	0.7683059	832	0.4148009	50.52857
GTEX-N7MS-0626-SM-2QU2Q	1	C1	Medial calcif., OK for analysis	8.8	Blood Vessel	Artery - Tibial	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-N7MS-0626-SM-2YUN7	1	C1	Medial calcif., OK for analysis	8.8	Blood Vessel	Artery - Tibial	20-23 hours	BP-16740	RNA isolation_Trizol Manual (Cell Pellet)	05/19/2011	LCSET-1433	06/09/2012	TrueSeq.v1	0.8412995	89187	0.96979266	780	0.85041445	0.82223034	0.30336505	23619	0.80520236	0.6709001	76	57.51842	0.0020318155	209	89415478	74861775	0.02975075	538389	88029752	7540572	0.5744798	135346	35965417	57646	0.029558005	0	0.14756228	0.68475574	0.6992366	60278882	0.0022858502	15505610	2729901	15736120	181	16137031	14711284	0.0021574714	15785011	49.448627	0.006115989	0.8595295	853	0.19479758	50.368916
GTEX-N7MS-0826-SM-2AXU2	1	C1	Ok for analysis	8.5	Heart	Heart - Left Ventricle	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0826-SM-2HML4	1	C1	Ok for analysis	8.5	Heart	Heart - Left Ventricle	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1156_2	02/15/2012	TrueSeq.v1	0.718508	78223	0.97906375	880	0.7514644	0.89127403	0.25176933	23106	0.5790818	0.7410059	76	47.08946	0.0035063538	186	32317608	76627741	0.020772947	5265487	101971220	14993172	0.6367974	134167	35645594	68335	0.03598416	0	0.08778964	0.4351594	0.66976076	44373733	0.005534406	14425430	2732911	14955204	172	16228480	11869707	0.004475909	15865372	49.434303	0.051636994	0.7844208	829	0.42091814	50.90157
GTEX-N7MS-0926-SM-2AXU3	2	C1	OK for analysis	8.7	Lung	Lung	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0926-SM-2HMIZ	2	C1	OK for analysis	8.7	Lung	Lung	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1156_2	02/15/2012	TrueSeq.v1	0.6640391	88937	0.96619755	979	0.69424415	0.7521197	0.27493468	23864	0.7893657	0.8426447	76	25.994638	0.0026855858	139	68378117	59948253	0.033569135	596422	86350392	13269120	0.64623654	135505	27828337	74933	0.042364396	0	0.21407785	0.5480125	0.5221547	47321095	0.004792958	12153358	3395876	12312016	125	13349055	8315803	0.0036934284	13343741	49.990047	0.0069069983	0.7244492	773	0.21063429	50.32425
GTEX-N7MS-1126-SM-3LK5E	1	C1	OK for analysis	7.1	Esophagus	Esophagus - Muscularis	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.8247028	70890	0.9637935	1575	0.8330198	0.8571906	0.29834482	23199	0.3073919	0.89428025	76	13.396894	0.0025801575	217	11727193	74287260	0.036080547	3858922	89178276	9438492	0.70497584	132648	35789963	118487	0.062985234	0	0.106602944	0.25606355	0.71405673	22835305	0.0028681897	15768182	4307587	16263789	247	16314044	7791099	0.0027227357	16352365	50.058655	0.043271996	0.8413366	735	0.69260806	50.77361
GTEX-N7MS-1225-SM-3LK5G	1	C1	OK for analysis	7.1	Esophagus	Esophagus - Mucosa	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.7655625	68573	0.95995975	1646	0.7724345	0.84235007	0.27223575	23262	0.49723643	0.8955349	76	15.886777	0.0029265394	156	18120492	58793361	0.039921958	2467627	76114370	13241948	0.7375901	133122	28341499	123770	0.058202635	0	0.11760967	0.38408256	0.6506602	29234200	0.003277348	12077565	6341694	12382853	163	12456441	6505432	0.003100383	12460610	50.008366	0.03241999	0.7793065	749	0.50276357	50.624046
GTEX-N7MS-1626-SM-3LK5F	2	C1	OK to analyze	6.8	Kidney	Kidney - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.87430674	96066	0.96796477	1627	0.8820911	0.92607117	0.29191202	22972	0.28321493	0.7559008	76	13.21223	0.0025592044	292	10429428	72251195	0.031828944	10536362	81908988	8568100	0.6850141	132810	34985189	159037	0.084121056	0	0.041893702	0.24982136	0.8168791	20462615	0.0028253575	15604185	4654441	16101736	260	16174535	10455519	0.0026911064	16081858	49.856346	0.12863499	0.88987553	673	0.71678513	50.784634
GTEX-N7MS-2326-SM-2AXU4	1	C1	OK to analyze	8.5	Thyroid	Thyroid	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-2326-SM-2HMLD	1	C1	OK to analyze	8.5	Thyroid	Thyroid	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1156_2	04/02/2012	TrueSeq.v1	0.5485952	169308	0.96854365	1027	0.583898	0.8282997	0.26703215	25318	0.68979794	0.7822542	76	33.02707	0.003477757	177	51828863	75786856	0.031200001	793564	129794692	31845442	0.65611964	140790	34505861	79776	0.039037433	0	0.1402439	0.40277162	0.48364255	52277614	0.005825533	14952497	6081830	15178663	162	16974587	12683143	0.0045806714	17035344	50.089317	0.0061139944	0.61920077	793	0.3102021	50.3753
GTEX-N7MS-2425-SM-26GMD	1	C1	OK to analyze	8.7	Brain	Brain - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2425-SM-26GMU	1	C1	OK to analyze	8.7	Brain	Brain - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2425-SM-2D43D	1	C1	OK to analyze	8.7	Brain	Brain - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEx_96Affy3_Oct2011	11/24/2011	Affymetrix Expression																																													
GTEX-N7MS-2526-SM-26GMA	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2526-SM-26GMR	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2526-SM-2D43A	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEx_96Affy3_Oct2011	11/24/2011	Affymetrix Expression																																													
GTEX-N7MS-2526-SM-2D7W3	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1010_1	10/30/2011	TrueSeq.v1	0.7418139	43332	0.9499962	708	0.75271744	0.7511499	0.28018722	22236	0.90219146	0.722697	101	45.680393	0.0022147298	120	121397024	43567483	0.049451422	647332	57880266	5489192	0.5803969	129736	20858971	53545	0.027555319	0	0.19884633	0.67909527	0.5654036	39306212	0.0027070432	8998432	2398170	9087222	127	9319496	7807692	0.002457321	9302099	49.953285	0.011183985	0.763621	841	0.09780852	50.24547
GTEX-N7MS-2625-SM-3LK77	1	C1	OK to analyze	7.5	Pituitary	Pituitary	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.6885366	70679	0.9523373	891	0.70007527	0.82456267	0.2840983	24772	0.7034192	0.75805354	76	33.43941	0.0024760964	146	32557973	47867050	0.04744266	1367482	68374144	8055226	0.6093136	140435	22912082	62209	0.03332346	0	0.1277747	0.4924464	0.5772559	33670598	0.0028855768	9577616	3366074	9734145	120	10006679	8259842	0.002677462	9960009	49.88313	0.019999987	0.711614	863	0.2965809	50.405273
GTEX-N7MT-0007-SM-3GACQ		D1		7.9	Blood	Whole Blood	4-7 hours	BP-16697	RNA isolation_PAXgene Blood RNA (Manual)	05/18/2011	LCSET-2014	09/08/2012	TrueSeq.v1	0.76998323	62258	0.95848024	1479	0.7943009	0.87600064	0.29864785	20572	0.1654973	0.69341177	76	12.940173	0.002664196	160	5495207	67848988	0.041259035	2947408	85419758	12217612	0.6398179	121940	32022529	116547	0.07185871	0	0.08247965	0.13145466	0.6958081	11228825	0.0059157745	14203678	10312708	14687189	157	15445072	14759884	0.0042402116	15261061	49.70037	0.03450499	0.8186185	728	0.83450264	50.836784
GTEX-N7MT-0009-SM-2BWYA		D1			Blood	Whole Blood	4-7 hours	BP-16702	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	05/18/2011	GTExHapMap_5M_Sept2011	10/18/2011	Illumina OMNI SNP Array																																													
GTEX-N7MT-0011-R10A-SM-2I3E1		D1, A1		6.8	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	LCSET-1167_3	02/17/2012	TrueSeq.v1	0.8519565	66433	0.96081936	1226	0.8635423	0.87651706	0.22675754	24099	0.6849452	0.84422255	76	29.781532	0.0030464397	218	44159722	70015778	0.03882839	5404045	81079732	8329918	0.7036325	137503	33722462	104963	0.05129071	0	0.08430226	0.5914792	0.75690955	47956972	0.0033968296	13633751	2527786	13809586	224	14093604	8479630	0.0032192841	14107291	50.024265	0.066651	0.87512815	753	0.3150548	50.320362
GTEX-N7MT-0011-R10A-SM-2IZHQ		D1, A1		6.8	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MT-0011-R11A-SM-2I3DZ		D1, A1		6.4	Brain	Brain - Cerebellar Hemisphere		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	LCSET-1167_3	02/17/2012	TrueSeq.v1	0.804442	61075	0.96119434	954	0.8132175	0.87154615	0.24683554	23897	0.6640472	0.7941825	76	40.21	0.0031625258	174	36368284	63458432	0.03849353	5740476	78033772	8795256	0.67883724	136916	30668517	72938	0.037259117	0	0.089648165	0.5400148	0.70875657	42139394	0.0034890794	12200827	2393673	12525300	181	12704028	7186140	0.0033240407	12573475	49.741756	0.07356399	0.821993	815	0.3359528	50.656136
GTEX-N7MT-0011-R11A-SM-2IZHP		D1, A1		6.4	Brain	Brain - Cerebellar Hemisphere		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MT-0011-R1a-SM-2AXWA		D1, A1		7	Brain	Brain - Hippocampus		BP-17394	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MT-0011-R1a-SM-2TC6G		D1, A1		7	Brain	Brain - Hippocampus		BP-17394	RNA isolation_Trizol Manual (Cell Pellet)	07/05/2011	LCSET-1477	05/27/2012	TrueSeq.v1	0.108134754	11828	0.9307084	5784	0.11973195	0.828184	0.24259886	17593	0.8238401	0.7030785	76	2.0628512	0.00434171	107	6945426	4783728	0.06901417	574693	39953648	10310954	0.9782067	103935	2080902	560322	0.2904487	0	0.10252443	0.09863998	0.09916008	3941027	0.00884967	825372	684811	867079	101	1036935	554220	0.0063773706	1021138	49.61622	0.014383993	0.13132913	347	0.17615989	51.23215
GTEX-N7MT-0011-R2a-SM-2AXW5		D1, A1		6.6	Brain	Brain - Substantia nigra		BP-17394	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MT-0011-R2a-SM-2I3GI		D1, A1		6.6	Brain	Brain - Substantia nigra		BP-17394	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1167_4	02/17/2012	TrueSeq.v1	0.726211	64585	0.92617875	1164	0.7337622	0.82114404	0.18735504	22780	0.6180728	0.8170921	76	30.860538	0.002927608	137	24063722	50498408	0.07360965	6116416	68821216	7982214	0.67675805	132210	24415796	103253	0.058118872	0	0.105034694	0.45351845	0.60252446	31211691	0.003252304	9916420	4444472	10123909	129	10287199	6043603	0.0030882852	10174863	49.725502	0.08887399	0.74131346	740	0.38192722	50.51768
GTEX-N7MT-0011-R3a-SM-2AXVY		D1, A1		6.4	Brain	Brain - Anterior cingulate cortex (BA24)		BP-17394	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
