/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_brain_out/counts_brain_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_heart_out/counts_heart_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_kidney_out/counts_kidney_tophat_htseq.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_brain_out/count_brain.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_heart_out/count_heart.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_kidney_out/count_kidney.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030882_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030886_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030885_tophat_output/count.txt	/proj/b2010078/PublicDataProject/HPA/count_brain_3b.txt	/proj/b2010078/PublicDataProject/HPA/count_heart_6a.txt	/proj/b2010078/PublicDataProject/HPA/count_kidney_a.txt	/proj/b2010078/PublicDataProject/Wang/brain_counts.txt	/proj/b2010078/PublicDataProject/Wang/heart_counts.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/count_brain.txt
ENSG00000227961	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227962	1	0	0	1	0	1	21	8	9	1	1	1	1	0
ENSG00000227963	0	1	1	1	0	4	21	24	16	7	1	1	4	1
ENSG00000227964	1	0	0	0	0	6	30	14	11	1	0	0	1	1
ENSG00000227965	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227966	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227968	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000227969	0	0	0	1	2	0	0	0	0	0	0	0	1	0
ENSG00000227970	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227971	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227972	0	0	0	2	2	1	0	1	4	3	0	0	0	1
ENSG00000227973	1	1	2	0	2	1	28	1	0	4	3	0	1	0
ENSG00000227974	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227979	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000227981	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227982	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227986	14	0	5	5	4	6	50	20	158	34	4	6	3	0
ENSG00000227987	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227988	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227992	0	2	1	1	6	0	12	18	4	0	5	1	3	2
ENSG00000227993	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227994	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227995	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227999	6	6	0	16	3	2	9	0	0	3	2	0	0	1
ENSG00000228000	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000228001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228002	0	0	0	1	2	5	4	2	1	0	0	0	0	1
ENSG00000228004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228005	0	0	0	0	0	1	9	1	14	0	0	0	6	0
ENSG00000228007	0	0	0	0	0	0	1	6	6	0	0	0	0	0
ENSG00000228008	0	1	0	0	0	1	1	2	1	0	0	0	0	0
ENSG00000228010	7	2	0	24	4	3	69	25	9	61	6	2	6	1
ENSG00000228011	0	0	0	0	1	0	3	0	0	0	0	0	0	0
ENSG00000228012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228013	4	2	2	6	1	6	56	21	32	7	2	13	5	2
ENSG00000228014	0	0	0	7	9	22	11	0	0	1	0	0	0	0
ENSG00000228015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228016	19	1	0	58	11	0	58	2	0	49	3	0	14	0
ENSG00000228019	0	0	2	11	0	2	16	9	0	0	2	0	1	0
ENSG00000228020	2	0	0	9	1	0	3	0	0	0	0	0	0	1
ENSG00000228021	1	1	0	0	0	2	11	2	8	8	0	1	0	0
ENSG00000228022	1	0	1	5	1	1	52	12	16	9	6	2	3	0
ENSG00000228024	0	0	0	4	0	6	6	0	0	0	0	0	0	0
ENSG00000228025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228027	0	1	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000228028	2	3	0	0	0	2	5	4	0	3	3	0	0	0
ENSG00000228029	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228030	0	0	0	3	2	0	1	0	0	0	0	0	1	0
ENSG00000228031	1	1	0	0	1	0	5	0	0	9	1	0	1	0
ENSG00000228032	2	2	2	6	4	7	4	16	10	0	4	0	5	0
ENSG00000228033	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000228034	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228035	0	0	0	55	34	1	0	24	4	0	7	0	0	2
ENSG00000228036	0	0	1	0	1	12	3	0	5	0	1	0	0	1
ENSG00000228037	1	2	2	0	0	0	1	9	15	4	2	0	0	1
ENSG00000228038	3	0	8	9	0	19	20	0	33	2	0	10	1	0
ENSG00000228039	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000228040	0	0	0	0	0	0	7	0	0	0	0	0	1	2
ENSG00000228041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228042	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228043	1	2	0	16	1	8	17	15	7	2	4	3	1	1
ENSG00000228044	0	0	3	1	1	3	9	0	0	5	0	1	1	0
ENSG00000228045	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000228046	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000228048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228049	1	0	0	0	0	0	4	0	5	0	0	0	10	0
ENSG00000228050	1	4	1	0	0	0	2	0	0	0	0	0	1	0
ENSG00000228051	0	0	0	2	1	0	0	1	0	0	0	0	0	0
ENSG00000228053	0	0	0	0	0	0	2	5	5	1	0	0	0	0
ENSG00000228054	0	0	0	2	0	2	0	0	1	0	0	0	0	0
ENSG00000228055	1	0	28	0	0	11	1	0	58	0	0	55	0	0
ENSG00000228056	0	2	0	0	4	1	0	1	1	0	0	0	0	0
ENSG00000228057	1	1	0	3	0	2	29	62	38	1	3	0	2	1
ENSG00000228058	15	0	0	4	0	0	35	7	21	33	0	2	3	4
ENSG00000228060	0	0	0	6	13	9	6	0	23	9	4	4	0	0
ENSG00000228061	4	0	2	17	3	21	46	3	4	20	0	0	4	0
ENSG00000228063	5	1	2	7	0	0	59	39	18	22	11	5	4	0
ENSG00000228064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228065	5	6	8	39	40	157	60	70	147	5	10	28	8	2
ENSG00000228067	0	0	0	1	0	0	6	2	8	1	0	0	1	0
ENSG00000228069	1	0	0	4	1	6	5	5	0	1	0	0	0	0
ENSG00000228071	0	2	1	0	0	0	2	0	4	0	0	0	1	0
ENSG00000228072	0	0	0	2	0	0	5	4	0	0	0	0	0	0
ENSG00000228073	0	1	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000228074	0	0	0	0	0	0	0	0	0	0	0	0	1	5
ENSG00000228075	0	2	0	1	0	0	0	0	1	0	0	0	0	1
ENSG00000228076	0	0	0	3	0	1	6	0	0	1	0	0	0	0
ENSG00000228078	1	4	0	0	2	0	4	8	24	4	0	0	1	4
ENSG00000228079	0	0	0	0	3	0	0	4	0	1	0	0	0	0
ENSG00000228080	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228081	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228082	0	0	0	0	0	5	0	0	0	0	0	1	0	0
ENSG00000228083	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228084	7	5	9	7	2	3	40	42	52	11	8	16	9	2
ENSG00000228085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228086	0	0	1	0	0	0	1	1	0	0	0	1	0	0
ENSG00000228089	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000228090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228092	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000228095	0	0	0	0	2	0	1	0	0	0	0	0	0	0
ENSG00000228097	0	0	0	0	5	5	0	5	7	0	0	0	0	1
ENSG00000228098	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228099	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228100	0	0	0	0	0	0	0	1	3	0	0	0	0	0
ENSG00000228102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228106	5	4	38	38	47	154	86	59	306	22	8	41	7	11
ENSG00000228107	8	2	0	6	10	16	71	74	90	27	2	1	30	17
ENSG00000228108	0	0	0	1	7	3	6	6	1	0	0	0	0	0
ENSG00000228109	46	5	17	5	0	4	60	4	19	113	6	13	20	1
ENSG00000228110	0	2	0	7	0	1	4	73	56	1	0	0	0	0
ENSG00000228111	0	0	0	0	0	0	0	0	0	0	0	0	4	1
ENSG00000228112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228113	1	1	0	8	1	9	10	1	5	15	0	3	0	1
ENSG00000228115	0	0	2	0	0	5	0	1	4	0	0	2	0	0
ENSG00000228116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228118	0	0	0	2	0	2	4	1	1	0	0	0	0	1
ENSG00000228120	0	0	8	0	0	2	1	0	2	0	0	17	1	0
ENSG00000228121	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000228122	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000228123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228124	1	0	0	2	0	2	0	3	3	0	1	2	0	0
ENSG00000228125	0	0	0	2	0	1	0	0	0	0	0	0	0	0
ENSG00000228126	7	3	1	1	0	1	15	6	25	7	2	1	0	1
ENSG00000228127	3	3	0	6	3	1	61	3	0	4	1	2	0	1
ENSG00000228128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228132	0	0	0	5	0	8	0	0	0	0	0	0	1	0
ENSG00000228133	13	1	9	6	5	10	33	3	0	2	1	4	6	0
ENSG00000228134	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000228135	5	0	0	4	0	0	16	0	0	5	0	0	0	0
ENSG00000228136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228137	1	2	0	3	2	10	7	10	3	26	3	0	4	1
ENSG00000228139	0	0	0	0	0	0	3	2	5	1	0	3	0	0
ENSG00000228140	9	1	1	10	3	4	65	38	83	8	0	0	12	2
ENSG00000228141	8	0	0	2	0	0	33	5	23	5	0	0	3	1
ENSG00000228142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228143	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ENSG00000228144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228146	3	27	0	1	0	5	22	33	25	10	9	3	2	2
ENSG00000228147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228149	0	1	1	1	0	0	6	2	3	0	0	0	5	3
ENSG00000228150	0	1	3	0	1	0	12	3	26	6	1	9	1	2
ENSG00000228151	0	0	0	1	1	7	35	48	19	0	0	0	6	0
ENSG00000228153	3	3	1	3	1	12	6	0	1	0	1	0	0	0
ENSG00000228154	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000228155	0	0	1	0	0	0	18	1	19	0	0	0	0	1
ENSG00000228156	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000228157	0	24	5	2	4	6	7	18	14	7	4	1	3	3
ENSG00000228158	1	0	0	3	0	0	3	6	2	3	0	0	10	0
ENSG00000228159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228160	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000228161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228162	1	1	0	0	0	0	1	0	0	1	0	0	1	0
ENSG00000228163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228166	0	0	0	11	30	12	2	23	0	0	0	0	1	2
ENSG00000228167	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000228168	0	0	1	0	0	1	2	2	9	0	0	0	3	2
ENSG00000228169	5	6	0	0	5	3	0	7	16	3	1	1	3	0
ENSG00000228170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228171	0	0	0	0	0	0	3	5	7	0	0	0	0	0
ENSG00000228172	0	1	0	1	4	0	8	16	1	6	2	0	1	2
ENSG00000228173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228174	0	3	0	6	1	0	1	6	0	0	0	0	0	0
ENSG00000228175	18	5	17	30	29	20	33	35	64	12	9	7	4	8
ENSG00000228176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228181	0	0	0	0	0	1	2	0	0	0	1	0	0	3
ENSG00000228182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228187	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228192	2	0	0	0	0	0	0	0	11	4	0	2	1	0
ENSG00000228193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228195	0	0	0	0	0	0	1	0	0	0	0	0	1	1
ENSG00000228196	0	1	0	0	0	2	2	3	5	0	0	0	0	0
ENSG00000228197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228201	7	2	4	0	0	1	2	1	0	11	0	2	0	2
ENSG00000228202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228203	187	6	8	48	1	10	507	39	224	116	1	9	98	4
ENSG00000228204	7	0	3	1	1	2	55	1	14	21	0	1	1	0
ENSG00000228205	1	2	3	0	2	1	4	15	34	6	3	0	4	5
ENSG00000228206	17	0	0	11	0	0	7	0	0	7	0	0	1	0
ENSG00000228207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228208	0	0	1	0	0	0	26	24	37	2	0	2	0	1
ENSG00000228209	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ENSG00000228210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228211	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSG00000228212	0	2	0	11	4	11	14	14	9	1	0	0	0	0
ENSG00000228213	0	0	0	28	20	87	4	18	0	0	0	0	0	0
ENSG00000228214	28	2	2	18	2	1	246	23	10	130	5	1	19	7
ENSG00000228215	0	0	0	0	0	2	0	0	0	1	2	0	0	0
ENSG00000228216	2	1	0	1	0	6	6	3	3	1	1	1	0	0
ENSG00000228217	0	1	0	3	2	0	0	0	0	0	0	0	0	0
ENSG00000228218	2	0	0	0	2	2	3	4	1	0	0	0	2	1
ENSG00000228219	0	1	0	4	0	11	5	0	0	0	0	0	0	3
ENSG00000228220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228221	1	0	3	0	0	0	16	4	18	0	0	2	0	0
ENSG00000228222	23	0	1	2	0	0	6	0	0	2	1	2	3	0
ENSG00000228223	176	114	87	242	146	145	1810	1064	1121	185	377	279	111	80
ENSG00000228224	0	0	0	9	7	8	44	467	71	0	0	0	2	3
ENSG00000228225	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000228226	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228231	0	0	0	0	0	20	0	0	29	0	0	1	0	0
ENSG00000228232	9	8	7	1	5	3	27	664	98	0	3	0	8	12
ENSG00000228234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228236	0	0	0	0	2	3	0	0	0	0	0	0	0	0
ENSG00000228237	0	1	0	2	0	0	0	4	0	1	2	2	0	0
ENSG00000228238	5	3	3	1	0	2	2	2	11	1	0	1	1	0
ENSG00000228239	0	0	0	0	0	0	4	0	0	0	0	0	0	1
ENSG00000228240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228242	3	2	1	1	0	0	13	6	15	3	0	0	0	1
ENSG00000228243	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000228245	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228247	0	0	0	2	3	0	1	0	0	0	0	0	5	2
ENSG00000228248	0	0	0	0	0	2	2	0	0	0	0	0	0	0
ENSG00000228250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228251	3	2	3	22	12	14	15	10	31	2	1	2	1	0
ENSG00000228252	17	0	59	7	2	21	57	5	47	31	7	15	0	1
ENSG00000228253	14447	4534	12287	3814	7043	5925	77620	142578	87334	5918	44567	14735	51939	106183
ENSG00000228254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228255	0	0	0	0	0	1	1	0	0	1	0	0	0	0
ENSG00000228257	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228261	0	13	0	2	3	6	5	5	2	2	3	1	0	1
ENSG00000228262	0	0	184	1	2	504	8	2	14541	0	0	374	0	0
ENSG00000228263	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228264	0	1	0	0	1	1	4	2	4	0	0	1	2	3
ENSG00000228265	14	1	10	3	0	7	44	4	19	25	5	16	7	0
ENSG00000228267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228271	1	0	0	0	0	0	1	1	4	0	0	0	1	0
ENSG00000228272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228274	17	14	22	18	25	37	128	60	136	94	8	4	11	17
ENSG00000228275	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000228277	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000228278	0	0	1	0	33	18	2	2	0	4	0	1	0	0
ENSG00000228280	0	0	0	1	5	28	0	2	0	0	0	0	0	0
ENSG00000228283	0	0	0	1	0	0	0	24	2	1	0	0	0	0
ENSG00000228284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228285	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ENSG00000228286	0	0	0	0	0	0	1	0	7	0	1	0	0	0
ENSG00000228288	29	12	18	0	1	0	50	33	22	33	15	11	17	8
ENSG00000228289	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000228290	2	1	0	5	5	7	6	13	0	0	3	0	0	1
ENSG00000228291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228292	0	0	0	1	1	4	8	7	0	0	0	0	0	1
ENSG00000228293	0	1	0	3	0	0	33	9	9	9	0	2	2	0
ENSG00000228294	0	0	0	0	0	0	6	1	0	0	0	0	0	0
ENSG00000228295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228300	25	41	50	0	0	1	12	41	100	11	0	49	6	5
ENSG00000228301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228302	5	11	9	1	4	6	68	41	74	35	9	3	2	6
ENSG00000228303	0	0	0	2	0	0	0	1	0	0	0	0	0	0
ENSG00000228304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228305	0	0	2	0	4	8	0	5	4	0	0	1	0	0
ENSG00000228307	2	24	3	0	0	2	4	26	23	0	0	5	0	4
ENSG00000228308	0	1	0	2	0	2	19	4	24	4	2	2	1	0
ENSG00000228309	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228312	1	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000228313	3	4	4	4	10	10	11	10	38	2	5	0	4	3
ENSG00000228314	26	6	5	0	0	0	6	0	9	2	0	1	1	0
ENSG00000228315	244	184	663	108	56	896	566	267	1538	612	213	359	46	29
ENSG00000228316	0	0	0	0	2	1	0	0	0	0	0	0	0	0
ENSG00000228317	0	0	1	0	1	3	3	0	2	0	0	0	0	0
ENSG00000228318	1	1	0	0	5	1	6	0	0	0	1	0	0	0
ENSG00000228319	0	0	0	1	3	0	0	0	0	0	0	0	0	0
ENSG00000228321	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228322	1	0	1	0	0	0	0	0	10	0	0	1	0	0
ENSG00000228323	0	0	0	0	0	1	6	5	0	1	0	3	0	0
ENSG00000228325	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000228326	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000228327	21	18	7	10	3	6	53	58	19	129	32	29	4	2
ENSG00000228328	0	3	0	14	1	8	2	3	1	2	0	0	3	2
ENSG00000228329	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ENSG00000228330	10	1	1	6	4	17	92	21	17	14	2	4	5	0
ENSG00000228331	0	0	0	0	0	0	1	0	2	0	0	1	0	0
ENSG00000228333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228335	0	0	0	29	15	22	27	5	13	2	1	0	2	0
ENSG00000228336	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228337	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228339	0	0	0	3	2	3	6	0	0	0	1	0	0	0
ENSG00000228340	2	11	4	5	21	40	37	107	42	14	4	25	6	8
ENSG00000228341	0	0	0	0	3	3	0	1	0	0	0	0	0	0
ENSG00000228343	31	20	12	14	5	19	652	133	414	210	37	30	23	15
ENSG00000228345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228347	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ENSG00000228348	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000228349	0	0	0	0	0	0	0	7	0	0	0	1	0	0
ENSG00000228350	1	2	0	0	0	0	9	3	8	2	1	0	1	0
ENSG00000228351	0	0	0	7	1	2	4	0	4	0	0	0	0	0
ENSG00000228352	3	1	0	5	4	14	12	16	2	10	4	1	1	1
ENSG00000228353	9	0	0	0	0	0	5	0	0	1	0	0	2	0
ENSG00000228354	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000228355	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228358	7	0	0	3	0	0	6	0	0	3	0	0	0	0
ENSG00000228360	2	0	0	2	2	1	2	3	5	4	0	1	5	5
ENSG00000228361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228363	2	1	2	0	0	7	61	46	19	34	15	3	5	2
ENSG00000228364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228365	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228366	0	2	0	3	3	2	0	2	1	0	1	0	0	0
ENSG00000228367	0	0	0	1	0	1	1	0	2	0	0	0	0	3
ENSG00000228368	0	1	0	0	11	15	0	5	0	0	0	1	0	1
ENSG00000228369	1	0	0	0	0	0	9	4	5	1	0	0	0	0
ENSG00000228370	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228372	0	0	0	0	0	1	0	2	0	0	0	0	0	0
ENSG00000228373	0	0	0	0	0	0	0	1	0	0	0	0	1	3
ENSG00000228374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228375	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000228376	3	0	19	2	0	2	7	1	7	4	0	15	1	0
ENSG00000228377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228379	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228380	0	0	0	0	0	0	2	0	0	0	0	0	2	0
ENSG00000228382	0	3	0	0	0	1	5	12	0	0	0	0	0	0
ENSG00000228383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228384	2	0	0	0	0	0	0	0	1	0	1	1	0	0
ENSG00000228386	0	0	0	1	11	5	6	4	5	0	0	1	0	0
ENSG00000228389	36	62	55	70	85	138	576	489	577	35	8	14	126	62
ENSG00000228391	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000228392	1	0	0	6	3	7	59	0	0	6	0	0	3	0
ENSG00000228393	11	7	12	14	12	24	68	27	208	31	12	9	4	0
ENSG00000228395	11	5	12	6	2	8	77	47	69	26	10	12	8	4
ENSG00000228397	0	1	2	0	0	0	11	3	1	3	0	2	2	1
ENSG00000228398	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228399	1	0	0	0	0	0	1	0	5	0	0	0	1	1
ENSG00000228400	5	0	0	2	0	0	11	0	0	1	0	0	0	0
ENSG00000228401	0	7	6	0	0	1	1	12	18	3	3	9	0	4
ENSG00000228403	0	0	0	0	1	11	1	0	0	0	0	0	0	0
ENSG00000228404	2	0	0	0	0	0	6	2	1	1	0	0	0	0
ENSG00000228405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228407	0	0	1	0	0	0	9	1	1	1	0	1	0	1
ENSG00000228408	6	0	0	10	1	0	68	0	11	15	0	0	1	1
ENSG00000228409	39	20	30	19	7	25	244	46	193	236	18	42	2	6
ENSG00000228410	0	0	0	0	0	0	0	0	0	0	0	0	0	0
