ENSEMBL_ID Gene_ID EoGE_brain EoGE_heart EoGE_kidney Atlas_brain Atlas_heart Atlas_kidney BodyMap_brain BodyMap_heart BodyMap_kidney HPA_brain HPA_heart HPA_kidney AltIso_brain AltIso_heart
1424 ENSG00000078043 PIAS2 11.1515 3.55757 11.3448 6.03869 3.56639 5.45013 7.55602 6.65697 6.02991 13.4432 8.02697 9.83158 8.1524 5.14951
10185 ENSG00000156958 GALK2 16.471 17.1265 49.7756 38.2493 24.1202 49.0569 6.41171 10.7462 17.7481 6.49055 14.4531 34.3047 7.45425 8.67169
9928 ENSG00000154640 BTG3 4.94949 0.918189 5.92377 8.59833 5.50226 3.9812 15.8265 4.072 13.4658 12.9635 8.48679 9.48496 5.31235 1.31663
17056 ENSG00000188277 C15orf62 0.94211 0.931776 0.865647 0.0874066 0.0564683 0.129239 0.305872 0.151094 0.509407 1.90368 0.20344 0.68636 0.215385 0.132636
10433 ENSG00000158901 WFDC8 0.0547055 0 0 0.0582707 0.0759313 0.0735372 0.464991 0.328872 0.63915 0 0 0 0.377907 0.175565
8065 ENSG00000140416 TPM1 65.4275 3823.89 147.337 252.634 9128.31 367.75 42.4969 3597.11 131.526 53.9851 3278.81 106.225 42.5869 3374.64
9929 ENSG00000154642 C21orf91 10.2683 1.07707 1.53111 9.5261 3.64763 2.64554 9.61564 2.54273 2.75796 10.8862 2.37688 2.88597 6.78941 1.21037
8104 ENSG00000140577 CRTC3 11.4261 9.29082 6.50283 5.63291 11.9511 8.49868 10.5177 7.24763 7.29574 11.6379 10.0672 8.06078 14.3387 8.38284
11945 ENSG00000166140 ZFYVE19 17.9555 23.1487 27.3984 11.1477 6.90854 8.77704 5.76706 5.12661 9.28575 11.6572 10.7701 17.3574 6.63477 6.91843
2474 ENSG00000101138 CSTF1 7.14465 9.58878 8.62084 4.39253 3.50206 6.3471 5.90372 5.41278 9.94297 11.4083 6.71507 11.4402 4.38038 2.71384
9930 ENSG00000154645 CHODL 0.202464 0.211516 0.139131 1.41771 0.389324 0.880966 0.417796 0.199581 1.08144 0.316676 2.6233 1.08149 0.137937 0.108774
15119 ENSG00000180305 WFDC10A 0 0 0 0 0 0 0.0286117 0 0 0 0 0 0.0696887 0
1067 ENSG00000068793 CYFIP1 37.4946 22.1702 80.6593 22.0668 19.4645 17.139 9.52233 7.64775 24.9764 31.2476 13.624 31.8842 16.8276 11.9569
15076 ENSG00000180083 WFDC11 0.142879 0 0 0.73249 0.649107 1.05997 0.198612 0 0.114603 0 0 0 0.159651 0
15669 ENSG00000182931 WFDC10B 0 0 0 0 0 0 0 0 0 0 0 0 0.128651 0
9931 ENSG00000154646 TMPRSS15 0 0 0 0.313971 2.01279 1.59083 0 0 0.0454588 0.0351206 0.0175716 0 0 0
2543 ENSG00000101365 IDH3B 68.2876 193.519 134.412 22.6366 28.1726 19.4569 40.4555 55.9921 45.4515 49.1999 65.9582 72.3529 52.6264 61.0009
12235 ENSG00000167216 KATNAL2 4.80861 1.0072 5.11306 8.12458 3.19434 10.8724 4.91247 1.33449 5.70012 3.02873 3.2595 5.35491 2.80663 1.16165
5514 ENSG00000124116 WFDC3 0.447424 0.782472 2.61189 0.116729 0.0314216 0.0441761 1.26227 0.150418 0.351735 0.260847 0.593857 1.36393 2.50216 0.114206
1775 ENSG00000087589 CASS4 0.37067 0.0722277 0.288474 0.176598 0.340653 0.299837 0.154917 0.213568 0.41421 0.625105 0.290779 0.437327 0.420974 0.220249
9932 ENSG00000154654 NCAM2 65.5842 1.13394 0.167547 245.756 18.2499 1.33846 40.4544 1.62231 0.335554 57.3268 2.34407 0.809555 26.1214 1.06291
11946 ENSG00000166143 PPP1R14D 0.107021 0 5.52243 0.00366289 0.0236638 0.088976 0 0 0.780165 0 0 1.73288 0.0773352 0.0777855
11984 ENSG00000166262 FAM227B 3.21256 2.5827 6.90844 2.5406 3.30774 4.54569 5.59681 9.53939 8.32378 4.88447 4.12883 10.809 3.04901 6.13009
14264 ENSG00000176136 MC5R 0.246089 0 0 0.25165 0 0 0 0 0 0.280274 0 0 0.0335404 0.0542181
16287 ENSG00000185231 MC2R 0.0448376 0 0.055319 0.422521 0.374114 0.52609 0.272087 0.0672789 0.0744559 0 0 0.175813 0.140723 0.0364713
2876 ENSG00000103642 LACTB 2.88531 4.56538 11.5914 15.7797 36.8802 29.523 5.5749 14.6091 10.8674 4.33045 6.66807 14.6657 1.99325 5.80583
17827 ENSG00000197299 BLM 2.03172 2.96776 0.0775546 1.95759 1.80065 0.143922 1.52174 10.5115 0.217263 10.2437 5.13744 0.225651 1.67891 4.3063
9936 ENSG00000154719 MRPL39 8.55085 11.8289 16.7107 13.7937 23.4069 16.4075 13.5321 19.7854 20.455 11.665 15.9092 21.785 10.1093 11.934
14107 ENSG00000175322 ZNF519 6.10401 1.11314 0.59943 5.4233 2.7049 2.19896 5.60953 1.83935 2.50452 8.6605 1.57057 0.79758 3.5415 0.92782
2480 ENSG00000101160 CTSZ 34.1637 104.282 218.15 19.324 41.8893 19.7629 23.7136 48.9852 55.77 16.9263 67.3137 60.0993 20.7774 87.2467
422 ENSG00000022277 RTFDC1 69.4944 26.4937 55.6881 70.7879 41.6325 36.1422 67.7412 26.2511 44.7899 72.064 40.5628 57.9015 45.1785 23.5694
11947 ENSG00000166145 SPINT1 0.24914 0.459145 101.697 0.655314 0.141288 12.0265 0.165013 0.32536 36.5205 0.427209 1.06307 37.0685 0.131977 0.392877
1818 ENSG00000088881 EBF4 16.2718 3.3079 4.19102 0.939833 0.563006 0.271865 2.40029 0.850036 3.18241 27.8394 1.63163 4.24111 15.0343 2.94085
2482 ENSG00000101162 TUBB1 0 0.125464 0.154697 0.0484618 0.078271 0.0511825 0.0579399 0.0726108 0.0787676 0.0665673 0.0600376 0.0651946 0.312774 0.0857987
8039 ENSG00000140285 FGF7 0.833384 5.15908 4.13267 2.75398 186.33 24.9608 5.18928 10.8466 3.86157 1.21712 11.2109 4.85433 1.02333 11.4391
15742 ENSG00000183206 POTEC 0 0 0 0.0801818 0.167936 0.223316 0.0946667 0.105769 0.0427155 0.0551529 0 0 0.0534346 0.0142969
2568 ENSG00000101457 DNTTIP1 15.7564 10.8898 18.6172 22.1079 17.1817 13.2623 10.3692 4.93588 11.0132 13.4652 10.5584 12.1488 14.6865 10.7378
58821 ENSG00000266996 TCEB3CL2 0.03474 0.114769 0.0444484 0.0158852 0 0.0419426 0.00684763 0.00940865 0.0209617 0 0 0 0.0139794 0.0210911
9937 ENSG00000154721 JAM2 11.6565 11.7084 1.2714 9.46673 6.82173 2.22294 17.5024 9.94498 4.80098 34.9873 21.3567 4.90378 10.5032 5.04152
5528 ENSG00000124172 ATP5E 60.7619 114.867 85.8797 39.2574 52.9371 27.6219 14.9208 48.6638 29.0311 33.8431 42.0157 80.2615 46.8103 85.3653
35794 ENSG00000234298 TCEB3CL 0.05211 0.114769 0.0444484 0.0158852 0 0.0419426 0.00684763 0.0129369 0.0135634 0 0 0 0.0139794 0.0210911
16250 ENSG00000185088 RPS27L 21.5867 20.2809 131.484 26.5691 53.8591 39.5302 34.9891 119.045 102.656 37.1984 47.8059 116.714 37.0306 77.997
15914 ENSG00000183791 TCEB3C 0.05211 0.150082 0.0253991 0.0158852 0 0.0419426 0.00684763 0.0129369 0.0209617 0 0 0.0422726 0.0139794 0.0210911
21203 ENSG00000206181 TCEB3B 0 0.00519143 0 0 0 0 0 0.00839378 0.00869287 0 0 0 0.0246998 0.00532363
12949 ENSG00000170122 FOXD4 0.407771 0.0283778 0.232037 0.0339959 0.0434292 0.0425985 0.179068 0 0.185375 0.133167 0 0.62228 0.201835 0
11940 ENSG00000166128 RAB8B 9.76612 1.57896 7.17008 35.0652 18.1126 18.3705 10.5455 5.42123 10.261 15.5804 8.67774 12.9164 10.756 5.53325
14050 ENSG00000175063 UBE2C 0 0.188598 0.204786 0 0.313157 0.15397 0.357342 0.430696 0.565759 2.27673 0.108173 0.218856 0 0.373598
5506 ENSG00000124091 GCNT7 0.0624783 0.0635095 0.0685187 0.214344 0.32311 0.656496 0 0.00636296 0.0266047 0.0471897 0.0716116 0 0 0
2483 ENSG00000101166 SLMO2 13.7931 11.1184 20.3391 31.4882 26.9676 27.8618 19.6639 16.722 30.7173 29.8832 15.6114 23.4037 7.78323 9.15985
12236 ENSG00000167220 HDHD2 55.6562 18.846 36.5733 17.9529 7.21289 14.4605 41.4025 11.6337 21.3948 43.5162 18.0512 33.0254 22.4676 9.62836
9938 ENSG00000154723 ATP5J 161.996 183.319 364.932 332.779 748.03 191.27 221.267 493.934 254.484 105.349 433.149 255.009 99.7127 368.07
13270 ENSG00000171448 ZBTB26 1.54259 0.721386 0.864394 0.762231 0.838444 1.21067 1.49463 0.84184 2.42802 5.49412 1.58032 2.21678 0.364405 0.188261
5511 ENSG00000124103 FAM209A 1.64431e-153 3.03082e-82 0.166675 0.0844586 0.0909397 0.118933 0.110243 5.82102e-60 0.174692 0.124773 0.0982093 4.39861e-63 0.0495389 7.28332e-260
2901 ENSG00000104047 DTWD1 4.79322 2.23994 1.86377 5.04765 3.07416 3.36176 9.28039 7.0802 9.86807 16.9421 9.91999 12.7483 5.91266 4.85002
1819 ENSG00000088882 CPXM1 0.663975 4.56255 4.86416 0.692819 0.392623 0.30809 0.143954 0.559268 2.49863 17.711 0.303385 0.975455 0.417177 1.02365
23748 ENSG00000213714 FAM209B 0.119362 0.242663 0.392704 0.202885 0.393217 0.17142 0.322943 0.409099 0.255593 0.180678 0 0.136658 0.0713884 0.123093
2912 ENSG00000104140 RHOV 2.47888 0.118115 1.14688 2.49618 0 1.7108 0.780138 0 1.26234 0.380375 0.0446369 0.610888 1.1217 0
8102 ENSG00000140564 FURIN 17.773 30.0903 33.0166 0.920654 1.92451 0.823782 6.48478 8.70639 12.6958 7.63763 14.5813 23.6169 10.9718 19.2656
8026 ENSG00000140157 NIPA2 22.7881 8.92273 28.6778 4.55991 1.8044 3.65215 14.5894 9.48301 26.1222 19.7918 7.08556 23.186 9.73251 5.93267
59050 ENSG00000267228 IER3IP1 15.0561 12.2487 47.8095 54.613 60.7985 59.4089 1.71281e-98 1.37284e-44 2.07807e-80 0.771699 8.61598e-24 0.178399 10.4137 2.69412
9939 ENSG00000154727 GABPA 2.46575 2.67958 3.34131 3.86351 4.47213 4.24033 4.89595 6.42605 9.23701 12.1834 7.23149 8.73235 2.38546 5.50453
1773 ENSG00000087510 TFAP2C 0.20703 0.212587 0.23149 0.134829 0.145976 0.299853 0.312885 0.0896399 0.821498 0.0988379 0.188601 0.669973 0.27688 0.0454836
5537 ENSG00000124203 ZNF831 0.327807 0.0640803 0.00691345 0.333924 0.0140084 0.0137404 0.228181 0.0157184 0.0415409 0.133241 0.00709722 0.0156725 0.167944 0.00658136
2572 ENSG00000101470 TNNC2 2.30738 0.704762 1.1408 1.38147 0.520618 0.166012 1.44693 0.0661932 0.0494743 0.4603 0.705347 0 0.364602 0.523889
2913 ENSG00000104142 VPS18 12.739 10.9177 16.2267 2.89782 1.39576 2.04295 4.01342 3.05346 5.87786 7.69039 4.70577 10.0897 9.81874 4.39727
7789 ENSG00000138613 APH1B 5.27298 1.52062 3.16574 7.45717 4.38492 4.41485 7.37448 3.20864 5.03083 12.5747 4.35658 6.16603 3.92235 2.35054
304 ENSG00000011454 RABGAP1 43.265 7.94702 17.2173 141.046 165.304 103.476 24.9657 14.1539 13.3965 38.6772 13.5199 21.9243 28.8314 21.855
6907 ENSG00000134049 IER3IP1 7.65049 5.46545 21.3592 5.50312 3.87805 6.85065 20.6146 19.279 44.1185 16.7945 15.5101 65.5969 6.19894 6.33061
5538 ENSG00000124205 EDN3 2.83442 0 0 0.951201 0 0 0.642049 0.0112256 0.252163 2.77045 0 0.263633 0.729602 0
6150 ENSG00000128917 DLL4 1.0291 6.62718 2.12557 0.530919 1.42687 1.09943 0.49989 3.52953 1.62776 1.78857 8.99675 2.60299 0.515035 4.3916
18195 ENSG00000198326 TMEM239 0 0 0 0.11911 0.105623 0.268036 0.171063 0.0986098 0.10947 0 0 0 0.114543 0.0419636
15208 ENSG00000180777 ANKRD30B 0.465584 0.0182963 0.0394787 1.30272 0.884123 1.34351 0.325518 0.0883711 0.258065 0.254284 0.0184623 0.121186 0.595303 0.349332
2475 ENSG00000101144 BMP7 23.2283 6.17384 10.9731 3.68931 2.41867 1.74892 9.8972 3.07502 2.09023 29.8803 6.58516 6.97102 16.2443 5.40368
24497 ENSG00000215474 SKOR2 0 0 0 0 0 0 0.00487018 0 0 0 0 0 0 0.172786
51023 ENSG00000258713 C20orf141 0 0.112527 0 0 0 0 0 0 0.0236912 0 0 0 0 0
17093 ENSG00000188394 GPR21 2.04953 0.183826 0 0.432684 0.27948 0.590516 1.20329 0.174036 0.457337 0.774528 0.141157 0 1.82041 0.08029
13604 ENSG00000172785 CBWD1 14.6792 9.72588 41.7806 25.1211 22.6127 35.3833 14.7723 10.4265 23.5076 11.3877 8.26235 36.4967 7.07204 7.13761
6705 ENSG00000132635 PCED1A 23.6457 10.6251 24.2071 0.655211 0.259852 0.673323 5.2795 1.80158 5.68048 28.7264 5.30642 18.2941 12.7262 2.72023
14119 ENSG00000175387 SMAD2 24.3373 16.3222 29.2551 34.9855 24.2255 38.5829 30.497 22.8987 24.3939 32.5611 27.0848 34.6594 21.5094 19.0471
2899 ENSG00000104043 ATP8B4 1.13357 1.15729 1.13926 3.77027 3.43298 3.95734 0.351029 1.03096 1.69827 1.61543 1.53934 2.19936 0.371155 0.676292
11724 ENSG00000165209 STRBP 29.4414 5.27261 9.51231 57.5304 17.1585 23.7543 18.4534 5.43531 12.978 12.3957 2.72103 9.93157 33.0848 6.71588
15562 ENSG00000182511 FES 3.69608 14.0087 6.07889 1.03784 3.91294 1.29299 2.14293 1.68141 3.45306 2.22619 5.51939 4.58877 2.2933 2.47903
12948 ENSG00000170113 NIPA1 32.2665 2.06248 6.76506 13.88 4.48676 7.15152 23.1539 1.80769 6.46128 16.9383 2.16335 7.31076 16.1965 1.1686
1280 ENSG00000074410 CA12 0.246658 0.399338 317.386 1.00072 0.354626 33.8018 0.886065 0.107585 106.45 11.3637 0.396788 218.471 0.237627 0.159986
1771 ENSG00000087495 PHACTR3 44.6488 1.30264 0.241602 42.2535 2.31625 0.898599 46.5904 6.5526 1.59363 28.9794 2.10448 1.22865 34.2825 3.52826
15912 ENSG00000183784 C9orf66 0.0299855 0 6.95506 0.064868 0.0728946 0.259925 0.377113 0.120986 1.93319 0.033965 0 15.9071 0.36443 0.0902118
1038 ENSG00000067900 ROCK1 4.84683 3.94451 4.22525 10.7358 31.493 21.2839 9.51881 12.6125 15.725 11.6813 9.93858 12.7277 5.17324 7.6891
6156 ENSG00000128965 CHAC1 7.23734 0.72971 2.17948 0.726833 0.0857861 0.260405 1.55711 0.420651 1.4852 1.59755 0.428975 2.51171 6.83462 0.517034
5512 ENSG00000124104 SNX21 19.601 12.9361 17.6378 1.68731 1.07038 1.22697 5.34023 2.60585 5.54644 8.77016 5.8343 11.4013 6.44461 3.41932
9180 ENSG00000148204 CRB2 8.82683 0.110315 4.66976 0.550322 0 0.271235 2.66629 0.0227585 1.70834 2.9045 0.0175716 4.18899 5.70293 0.027838
2476 ENSG00000101146 RAE1 13.0728 4.87892 13.4799 2.67243 1.47962 3.04872 8.70998 5.30796 10.0405 11.7782 4.53708 9.90848 8.03433 3.77217
24428 ENSG00000215305 VPS16 25.3558 13.0964 24.4562 3.95163 3.34876 3.49959 7.22282 4.46257 12.6153 18.5127 8.28858 11.5984 14.5131 7.73602
9809 ENSG00000153666 GOLGA8I 2.15385 1.37137 1.81742 0.519365 0.527214 0.73292 4.68411 2.48074 3.49223 3.31717 4.11224 1.12485 1.01735 0.488538
8320 ENSG00000142192 APP 1852.03 247.903 1339.11 2351.45 678.961 1202.31 553.386 115.755 337.449 478.419 226.941 443.136 1759.88 355.817
2573 ENSG00000101473 ACOT8 34.2033 23.8237 29.9368 3.3413 1.65679 1.90707 10.5569 7.55032 11.5549 15.955 12.8867 17.274 22.2545 9.79179
6148 ENSG00000128908 INO80 12.3037 9.90496 14.1008 16.7749 15.2672 18.0059 3.27706 2.70532 5.39626 7.03856 3.73875 7.10275 2.76769 4.18178
8038 ENSG00000140284 SLC27A2 3.0077 0.0597427 32.3772 4.1668 0.565754 133.633 1.021 0.125168 20.4287 0.51976 0 105.204 2.20687 0
18094 ENSG00000198033 TUBA3C 0.0215875 1.33857 0 0 0.392912 0 0.0256287 1.09479 0 0 0 0 0.186594 5.83843
5219 ENSG00000121388 RP11-408E5.4 0 0 0 0 0.0545159 0 0 0 0 0 0 0 0 0.230272
49259 ENSG00000256222 MTRNR2L3 0.0493498 0 0 1.31302 0.980728 1.26061 0.422043 0.213887 0.800708 0 0 0 85.097 51.5676
6740 ENSG00000132819 RBM38 7.22036 55.8394 27.6993 0.725411 4.22562 0.809115 2.65548 14.0975 4.24019 4.14905 13.4619 8.16915 3.31149 21.161
3421 ENSG00000107099 DOCK8 1.21571 1.00438 19.7618 12.6104 10.2782 17.1866 1.1502 1.77789 5.12457 2.15498 1.64733 15.5325 3.16477 1.04921
4967 ENSG00000119522 DENND1A 15.3223 5.40816 25.8598 31.1527 12.4657 18.7558 9.84794 3.55272 4.76901 10.7256 5.17315 14.8445 10.9123 6.32453
8222 ENSG00000141449 GREB1L 1.25666 1.10978 0 2.28361 2.82765 1.24021 1.20948 2.09164 0.184897 1.73565 2.54712 0.722411 0.67442 1.82894
11986 ENSG00000166265 CYYR1 1.42267 13.1682 6.34146 1.306 5.89442 3.17599 2.12732 14.2259 4.83678 1.86455 11.7684 9.5594 2.48632 8.6175
17381 ENSG00000196074 SYCP2 0.936324 0.218399 1.20079 1.41934 0.828915 2.23613 1.7885 0.573889 0.984698 3.26833 0.596859 3.61765 0.883469 0.229484
8040 ENSG00000140287 HDC 0.126181 1.31874 0.199563 5.87305 0.384193 0.0333504 0.0439917 0.240507 0.23315 0.675956 0.284113 0.267079 0.0380894 0.131369
6766 ENSG00000132958 TPTE2 0.299708 0 0.0628409 0.0392086 0.0342402 0.0414114 0.165045 0 0 0.0647025 0.0495792 0.103589 0.1162 0.0148627
8069 ENSG00000140455 USP3 5.26655 5.15041 13.5777 7.97881 9.86024 9.26213 3.71051 3.50832 10.376 12.4966 4.04366 11.4024 2.40802 3.44867
16166 ENSG00000184828 ZBTB7C 3.49977 1.53815 1.28042 1.62116 1.04802 0.257499 2.31257 1.25931 1.17568 3.85955 0.518335 1.7771 2.73212 0.942896
9940 ENSG00000154734 ADAMTS1 8.46989 33.3648 16.2325 10.2178 35.4814 14.1325 15.3892 22.8691 34.4965 7.1308 71.5448 11.0024 19.7032 37.3447
3387 ENSG00000106689 LHX2 51.2996 0.280052 0.0271027 2.9633 0 0.00448026 23.5256 0.0767072 0 15.0263 0 0 24.1809 0.0147137
51733 ENSG00000259455 RP11-467N20.5 0.216324 0.032478 0.027253 0.181055 0.0478821 0.0482348 0.346437 0.0875949 0.213341 0.0486688 0.0231055 0.00595867 0.171369 0.0332055
9941 ENSG00000154736 ADAMTS5 0.111383 0.626047 0.502976 0.211835 0.951188 0.799709 0.139249 2.14376 1.38719 1.21172 0.391017 1.45759 0.0793385 0.601923
53923 ENSG00000261739 GOLGA8S 0.285224 0.148816 0.265665 0.159013 0.0476846 0.0989898 0.118666 0.0128309 0.0992784 0.150465 0.0145649 0.0211239 0.23619 0.168854
17434 ENSG00000196199 MPHOSPH8 32.5734 10.3249 16.7968 34.6351 30.109 25.8656 24.6946 12.414 19.3509 33.198 22.2847 17.8346 18.1093 9.08456
14860 ENSG00000178997 EXD1 0.509321 0.187265 0.0561989 0.254487 0.201297 0.314498 1.05714 0.481609 0.811736 0.182043 0 0 0.360733 0.192386
10105 ENSG00000156239 N6AMT1 3.44041 2.38951 4.7255 1.91115 2.37915 1.42211 1.6547 3.07478 4.29172 7.55568 3.55365 4.5722 1.93727 2.2405
17571 ENSG00000196547 MAN2A2 150.078 101.577 37.3049 28.7172 14.4798 7.78507 28.5172 16.7339 7.33998 64.1498 32.2921 22.4017 168.104 76.0244
3422 ENSG00000107104 KANK1 12.0376 49.4757 26.1442 7.82706 20.1388 20.8822 10.429 33.3741 17.7596 42.1487 39.2892 23.5438 8.07889 25.5196
5220 ENSG00000121390 PSPC1 22.4697 7.7412 15.0449 17.483 7.4431 11.1386 23.4588 8.45031 11.574 17.1151 8.6625 15.0384 16.7172 9.9646
13934 ENSG00000174450 GOLGA6L2 0 0 0 0 0 0.00798749 0.0314081 0 0 0.471431 0 0 0 0
60762 ENSG00000268960 AC091150.1 0 0.179291 0 0.238438 0.128368 0.125912 0 0 0 0 0 0 0 0
61379 ENSG00000269591 AL354808.2 0.238723 0 0 3.00269 3.3205 7.7139 0.469735 0.0227277 0.0766779 0.0903388 0 0 0.142777 0
4954 ENSG00000119408 NEK6 20.1228 5.12831 53.4282 27.6318 10.9373 19.3856 11.8938 1.24979 5.40755 12.6052 4.74385 16.2077 7.71648 1.52138
7494 ENSG00000137090 DMRT1 0 0.0379507 0 0.0371721 0.104024 0.170389 0.126906 0.0913831 0.0159046 0.0217423 0 0 0.158918 0.0679813
2904 ENSG00000104064 GABPB1 13.6379 7.05246 11.0018 21.6801 25.1884 15.2584 7.52747 5.65006 8.20846 10.0976 5.26248 10.361 8.2638 6.25794
14962 ENSG00000179455 MKRN3 3.87016 0 0 1.18161 0.779026 0.704789 0.901894 0.0680025 0.560127 5.45833 0.0263946 0.356646 0.878001 0.119775
6904 ENSG00000134030 CTIF 74.199 22.4263 27.4084 22.4672 11.46 5.75938 30.7057 5.85355 8.0364 27.0617 11.1742 8.97925 62.4509 18.9417
890 ENSG00000064218 DMRT3 0.205498 0 0 0.0402934 0 0 0.479092 0.0179653 0 0.0665159 0 0 0.3546 0
6763 ENSG00000132950 ZMYM5 1.79282 1.27148 1.46006 3.55179 2.10953 2.55978 4.73716 3.01692 4.07109 6.94219 3.1809 4.14403 1.4951 1.05637
6079 ENSG00000128322 IGLL1 0.114186 0.11607 0.125225 0.0294407 0.0696975 0.205096 0.0933924 0.0109126 0.272951 0 0 0 0.0683294 0.451656
18418 ENSG00000198862 LTN1 2.9442 1.22054 1.14064 9.6528 8.51998 9.41763 6.09254 3.91615 5.4203 9.89643 4.06045 6.8125 1.64043 0.954569
48006 ENSG00000254585 MAGEL2 1.50799 0.0517649 0 2.01056e-05 2.14687e-05 2.1058e-05 6.90815e-06 6.21135e-06 6.16699e-06 1.09704 3.38092e-05 0.124786 1.3458 0
15600 ENSG00000182636 NDN 31.6511 21.3554 3.48627 41.6654 17.0723 4.85602 30.957 8.40955 10.6698 24.2472 14.0142 8.91494 16.9776 6.77902
